Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-07-01,1857.0,1864.0,1826.0,1851.0,2342600,0,0
1997-07-02,1851.0,1877.0,1849.0,1873.0,2946200,0,0
1997-07-03,1873.0,1916.0,1871.0,1912.0,3660300,0,0
1997-07-07,1918.0,1963.0,1918.0,1953.0,3045500,0,0
1997-07-08,1953.0,1959.0,1894.0,1911.0,2426500,0,0
1997-07-09,1911.0,1951.0,1911.0,1951.0,3090400,0,0
1997-07-10,1951.0,2010.0,1951.0,1999.0,4169400,0,0
1997-07-11,1999.0,2027.0,1971.0,2027.0,3914500,0,0
1997-07-14,2027.0,2056.0,2003.0,2043.0,4112600,0,0
1997-07-15,2043.0,2060.0,2017.0,2036.0,3202900,0,0
1997-07-16,2036.0,2040.0,1972.0,2009.0,3606900,0,0
1997-07-17,2009.0,2019.0,1989.0,2006.0,3337100,0,0
1997-07-18,2006.0,2029.0,1998.0,2010.0,3337100,0,0
1997-07-21,2010.0,2018.0,1939.0,1955.0,2851000,0,0
1997-07-22,1955.0,1966.0,1934.0,1953.0,2825700,0,0
1997-07-23,1953.0,1953.0,1905.0,1919.0,2252400,0,0
1997-07-24,1919.0,1962.0,1913.0,1925.0,3124300,0,0
1997-07-25,1925.0,1931.0,1874.0,1889.0,2274000,0,0
1997-07-28,1889.0,1895.0,1833.0,1836.0,1758400,0,0
1997-07-29,1836.0,1870.0,1836.0,1850.0,2330100,0,0
1997-07-30,1850.0,1903.0,1850.0,1903.0,2894300,0,0
1997-07-31,1903.0,1953.0,1903.0,1953.0,2980500,0,0
1997-08-01,1953.0,1987.0,1943.0,1973.0,3208700,0,0
1997-08-04,1973.0,2039.0,1973.0,2036.0,2902200,0,0
1997-08-05,2036.0,2065.0,1995.0,2003.0,2827500,0,0
1997-08-06,2003.0,2044.0,1991.0,2034.0,2776700,0,0
1997-08-07,2034.0,2065.0,2031.0,2050.0,3426700,0,0
1997-08-08,2050.0,2070.0,2026.0,2040.0,2531600,0,0
1997-08-11,2040.0,2048.0,2019.0,2032.0,1975500,0,0
1997-08-12,2032.0,2047.0,2021.0,2036.0,2163200,0,0
1997-08-13,2036.0,2040.0,1997.0,2005.0,2514500,0,0
1997-08-14,2005.0,2047.0,2005.0,2016.0,3130600,0,0
1997-08-15,2016.0,2031.0,1998.0,2004.0,3288000,0,0
1997-08-18,2004.0,2022.0,1943.0,1952.0,2149700,0,0
1997-08-19,1952.0,1978.0,1927.0,1940.0,2021100,0,0
1997-08-20,1940.0,1961.0,1913.0,1930.0,2177400,0,0
1997-08-21,1930.0,1976.0,1930.0,1975.0,2874100,0,0
1997-08-22,1975.0,1994.0,1948.0,1966.0,2501800,0,0
1997-08-25,1966.0,1973.0,1939.0,1951.0,2122400,0,0
1997-08-26,1951.0,1962.0,1910.0,1925.0,2502200,0,0
1997-08-27,1925.0,1947.0,1914.0,1925.0,2015100,0,0
1997-08-28,1925.0,1977.0,1925.0,1973.0,3404300,0,0
1997-08-29,1973.0,2012.0,1966.0,1980.0,2839300,0,0
1997-09-02,1978.0,2023.0,1977.0,2020.0,2702100,0,0
1997-09-03,2020.0,2054.0,2014.0,2054.0,2522800,0,0
1997-09-04,2054.0,2107.0,2054.0,2104.0,3965300,0,0
1997-09-05,2104.0,2132.0,2102.0,2124.0,3430300,0,0
1997-09-08,2124.0,2198.0,2124.0,2198.0,4239700,0,0
